no_acclimation,genus,species,phylum,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity-days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km+ (migratory only),season_when_away_100km+ (migratory only),logic_source_season_when_away,Home range size_Km2,logic-source_for_Home range size,data_gatherer,lifespan_days,lifespan_days_reference,Notes
no,Sceloporus,grammicus,Chordata,Lepidosauria,Squamata,Iguanidae,adults,240,8-9 mo (Jiménez-Cruz+ E.+ Ramírez-Bautista+ A.+ Marshall+ J. C.+ Lizana-Avia+ M.+ & De Oca+ A. N. M. (2005). Reproductive cycle of Sceloporus grammicus (Squamata: Phrynosomatidae) from Teotihuacán+ México. The Southwestern Naturalist+ 50(2)+ 178-188.),180,6-7 mo (Jiménez-Cruz+ E.+ Ramírez-Bautista+ A.+ Marshall+ J. C.+ Lizana-Avia+ M.+ & De Oca+ A. N. M. (2005). Reproductive cycle of Sceloporus grammicus (Squamata: Phrynosomatidae) from Teotihuacán+ México. The Southwestern Naturalist+ 50(2)+ 178-188.),,0-1,GENETIC: study suggests 400m dispersal capacity (https://www.jstor.org/stable/2406963),,,8.1,SVL (Guillette Jr+ L. J.+ & Casas-Andreu+ G. (1980). Fall reproductive activity in the high altitude Mexican lizard+ Sceloporus grammicus microlepidotus. Journal of Herpetology+ 143-147.),5.07,SVL 49.3 and 52.09 mm for two populations (Hernández-Salinas+ U.+ Ramírez-Bautista+ A.+ Leyte-Manrique+ A.+ & Smith+ G. R. (2010). Reproduction and sexual dimorphism in two populations of Sceloporus grammicus (Sauria: Phrynosomatidae) from Hidalgo+ Mexico. Herpetologica+ 66(1)+ 12-22.),5.298,SVL 51.99 and 53.97 mm for two populations (Hernández-Salinas+ U.+ Ramírez-Bautista+ A.+ Leyte-Manrique+ A.+ & Smith+ G. R. (2010). Reproduction and sexual dimorphism in two populations of Sceloporus grammicus (Sauria: Phrynosomatidae) from Hidalgo+ Mexico. Herpetologica+ 66(1)+ 12-22.),,winter,hibernate in temperate latitudes (https://doi.org/10.1016/S0306-4565(98)00018-7),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
no,Sceloporus,occidentalis,Chordata,Lepidosauria,Squamata,Iguanidae,NA,365,earliest reproduction after 1 year (Goldberg+ S. R. (1973). Ovarian cycle of the western fence lizard+ Sceloporus occidentalis. Herpetologica+ 284-289.),240,hatch in August and have sperm by March (Goldberg+ S. R. (1974). Reproduction in mountain and lowland populations of the lizard Sceloporus occidentalis. Copeia+ 176-182.),,0-1,MOVEMENT: maximum distance moved by hatchling from capture site over 6 weeks was 420m (https://doi.org/10.1093/beheco/arg056),,,7.4,SVL max observed after 5 years (Davis+ J. (1967). Growth and size of the western fence lizard (Sceloporus occidentalis). Copeia+ 721-731.),6.78,SVL - stop growing in third year+ found weighted average from table 2 (Davis+ J. (1967). Growth and size of the western fence lizard (Sceloporus occidentalis). Copeia+ 721-731.),7.25,SVL - stop growing in third year+ found weighted average from table 2 (Davis+ J. (1967). Growth and size of the western fence lizard (Sceloporus occidentalis). Copeia+ 721-731.),,winter,"hibernates (https://www.jstor.org/stable/3892020)
POPULATION SPECIFIC: differs between elevations (Goldberg+ S. R. (1974). Reproduction in mountain and lowland populations of the lizard Sceloporus occidentalis. Copeia+ 176-182.) ",non-migratory,not many lizards migrate and seeminly fewer more than 10km (https://doi.org/10.1007/s00360-009-0415-8),NA,NA,NA,0.0004-0.07,home range 0.04-0.7 ha (Tanner+ W. W.+ and J. M. Hopkin. 1972. Ecology of Sceloporus occidentalis longipes Baird and Uta stansburiana Baird and Girard on Ranier Mesa+ Nevada Test Site+ Nye County+ Nevada. Brigham Young Univ. Sci. Bull. Bio. Ser. 15:1-39.),Nikki,1825,5 years inferred from (Davis+ J. (1967). Growth and size of the western fence lizard (Sceloporus occidentalis). Copeia+ 721-731.),
no,Lacerta,agilis,Chordata,Lepidosauria,Squamata,Lacertidae,NA,803,mature at 71-75mm (Roitberg+ E. S.+ & Smirina+ E. M. (2006). Adult body length and sexual size dimorphism in Lacerta agilis boemica (Reptilia+ Lacertidae): between-year and interlocality variation. Mainland and insular lacertid lizards: a mediterranean perspective+ 175-188.) which corresponds to age of 2.2-2.5 years on fig1 (Guarino+ F. M.+ Di Già+ I.+ & Sindaco+ R. (2010). Age and growth of the sand lizards (Lacerta agilis) from a high Alpine population of north-western Italy. Acta Herpetologica+ 5(1).),unk,,,0-1,MOVEMENT: 70m average dispersal found between years for males (https://doi.org/10.1111/j.1095-8312.1997.tb01494.x),,,10,SVL asymptotically calculated (Guarino+ F. M.+ Di Già+ I.+ & Sindaco+ R. (2010). Age and growth of the sand lizards (Lacerta agilis) from a high Alpine population of north-western Italy. Acta Herpetologica+ 5(1).),7.39,SVL (Guarino+ F. M.+ Di Già+ I.+ & Sindaco+ R. (2010). Age and growth of the sand lizards (Lacerta agilis) from a high Alpine population of north-western Italy. Acta Herpetologica+ 5(1).),6.93,SVL (Guarino+ F. M.+ Di Già+ I.+ & Sindaco+ R. (2010). Age and growth of the sand lizards (Lacerta agilis) from a high Alpine population of north-western Italy. Acta Herpetologica+ 5(1).),,winter,hibernation (Saveliev+ S. S.+ Bulakhova+ N. A.+ & Kuranova+ V. N. (2006). Reproductive activity of Lacerta agilis and Zootoca vivipara (Reptilia: Sauria: Lacertidae) in western Siberia. In Proceedings of the 13th Congress of the Societas Europaea Herpetologica. pp (Vol. 133+ p. 137),non-migratory,not many lizards migrate and seeminly fewer more than 10km (https://doi.org/10.1007/s00360-009-0415-8),NA,NA,NA,0.0011,male home range 1100 m^2 (Olsson+ M.+ Gullberg+ A.+ & Tegelström+ H. (1996). Malformed offspring+ sibling matings+ and selection against inbreeding in the sand lizard (Lacerta agilis). Journal of Evolutionary Biology+ 9(2)+ 229-242.),Nikki,1460,maximum age 12 years (Olsson+ M.+ Shine+ R. (1996): Does reproductive success increase with age or with size in species with indeterminate growth? A case study using sand lizards (Lacerta agilis). Oecologia 105: 175-178.),longevity differs greatly across populations (Guarino+ F. M.+ Di Già+ I.+ & Sindaco+ R. (2010). Age and growth of the sand lizards (Lacerta agilis) from a high Alpine population of north-western Italy. Acta Herpetologica+ 5(1).)
no,Podarcis,tilliguerta,Chordata,Lepidosauria,Squamata,Lacertidae,males_adults,unk,,unk,,,0-1,OTHER: based on genus+ maximum distance with homing ability is 150m and max home range 300m2 (10.1371/journal.pone.0067573),,,unk,,5.25,SVL mean in a population (https://www.researchgate.net/profile/Michel_Jean_Delaugerre/publication/303836344_Notes_on_thermal_ecology_of_Podarcis_tiliguerta_Gmelin_1789_on_Lavezzu_island/links/5756d60208ae04a1b6b65a80/Notes-on-thermal-ecology-of-Podarcis-tiliguerta-Gmelin-1789-on-Lavezzu-island.pdf),5.759,SVL mean in a population (https://www.researchgate.net/profile/Michel_Jean_Delaugerre/publication/303836344_Notes_on_thermal_ecology_of_Podarcis_tiliguerta_Gmelin_1789_on_Lavezzu_island/links/5756d60208ae04a1b6b65a80/Notes-on-thermal-ecology-of-Podarcis-tiliguerta-Gmelin-1789-on-Lavezzu-island.pdf),,unk,not much info on species,non-migratory,not many lizards migrate and seeminly fewer more than 10km (https://doi.org/10.1007/s00360-009-0415-8),NA,NA,NA,unk,,Nikki,5475,15 years max (Jesus+ J. (2012). Evidence of high longevity in an Island lacertid+ Teira dugesii (Milne-Edwards+ 1829). First data on wild specimens. Acta Herpetologica+ 7(2)+ 309-313.),
no,Takydromus,septentrionalis,Chordata,Lepidosauria,Squamata,Lacertidae,female_adults,unk,55.55mm smallest reproductive size (https://doi.org/10.1111/j.1095-8312.2005.00508.x),unk,,,0-1,MOVEMENT: high recapture suggests site fidelity to home range of max size of ~60m2 (X. Ji+ W. Ma+ P.C. Wang. Study on home range of the lizard Takydromus septentrionalis during reproduction period. J. Hangzhou Normal College+ 1989 (1989)+ pp. 60-63),,,8,SVL ( Du+ W. G.+ X. Ji+ and Y. P. Zhang. 2006. Inter-population variation in life-history traits of a Chinese lizard (Takydromus septentrionalis+ Lacer-tidae). Herpetological Journal 16:233-2),,,,,,Nov-Apr/May,enters hibernation when the temperature drops below 11° C in November; and becomes active during April and May (IUCN Redlist),non-migratory,taxa,NA,NA,NA,0.0000311-0.0000661,31.1-66.1m2 (X. Ji+ W. Ma+ P.C. Wang. Study on home range of the lizard Takydromus septentrionalis during reproduction period. J. Hangzhou Normal College+ 1989 (1989)+ pp. 60-63),Nikki,unk,,
no,Zootoca,vivipara,Chordata,Lepidosauria,Squamata,Lacertidae,subadults_adults_males_and_nongravid_females,365,1-3 years (Sorci+ G.+ & Clobert+ J. (1995). Effects of maternal parasite load on offspring life‐history traits in the common lizard (Lacerta vivipara). Journal of Evolutionary Biology+ 8(6)+ 711-723.),365,1-3 years (Sorci+ G.+ & Clobert+ J. (1995). Effects of maternal parasite load on offspring life‐history traits in the common lizard (Lacerta vivipara). Journal of Evolutionary Biology+ 8(6)+ 711-723.),Y,0-1,MOVEMENT: 150 m displacements never resulted in homing+ suggests they possibly penetrate outside their home range (https://doi.org/10.1163/156853883X00256),,,unk,,4.5-7.5,SVL (Pilorge+ T. (1987). Density+ size structure+ and reproductive characteristics of three populations of Lacerta vivipara (Sauria: Lacertidae). Herpetologica+ 345-356.),4-6,SVL (Pilorge+ T. (1987). Density+ size structure+ and reproductive characteristics of three populations of Lacerta vivipara (Sauria: Lacertidae). Herpetologica+ 345-356.),,Sept - Mar/Apr/May,hibernation (Bauwens+ D. (1981). Survivorship during hibernation in the European common lizard+ Lacerta vivipara. Copeia+ 1981(3)+ 741-744. AND Pilorge+ T. (1987). Density+ size structure+ and reproductive characteristics of three populations of Lacerta vivipara (Sauria: Lacertidae). Herpetologica+ 345-356.),non-migratory,not many lizards migrate and seeminly fewer more than 10km (https://doi.org/10.1007/s00360-009-0415-8),NA,NA,NA,0.5389-1.6921,widest range of values observed among males and females of 3 populations (Ortega-Rubio+ A.+ T. Pilorge+ M. Khodadoost+ L. Arriagal. 1990. Interpopulation home range comparison of a temperate lizard. Herpetology+ 20/3: 71-80.),Nikki,4380,average 4-5 years+ maximum 12 (Avery+ R. 1975. Age-structure and longevity of common lizard (Lacerta vivipara) populations. Journal of Zoology+ 176/4: 555-558.),
no,Rattus,fuscipes,Chordata,Mammalia,Rodentia,Muridae,adult,107,AnAge,90,AnAge,,0-1,MOVEMENT: 0.5-2.7km movement reported+ but thought to be unusual (Peakall+ R.+ Ruibal+ M.+ & Lindenmayer+ D. B. (2003). Spatial autocorrelation analysis offers new insights into gene flow in the Australian bush rat+ Rattus fuscipes. Evolution+ 57(5)+ 1182-1195.),,,15.925,pantheria05 doi: 10.1890/08-1494.1,unk,,unk,,,none,active in winter - https://doi.org/10.1016/j.cbpa.2009.12.008,non-migratory,present year round in capture study (https://doi.org/10.1071/WR9810349),NA,NA,NA,0.008-0.012,home range between 0.8 and 1.2 ha (Peakall+ R.+ Ruibal+ M.+ & Lindenmayer+ D. B. (2003). Spatial autocorrelation analysis offers new insights into gene flow in the Australian bush rat+ Rattus fuscipes. Evolution+ 57(5)+ 1182-1195.),Joanne/Alex/Nikki,1934.5,Weaned animals (weaning takes 30 days) live about one year+ but there is a field record of 3.8 years and a laboratory record of 5.3 years - Taylor and Calaby (1988) Mamm Species+ 298:1-9,
,Anaxyrus,americanus,Chordata,Amphibia,Anura,NA,larva,1095,AmphibiaWeb,730,AmphibiaWeb - males at end of second summer,,0-1,typically disperse less than 1000m (amphibiaweb),,,11.1,SVL - amphibio,7.5,75mm https://animaldiversity.org/accounts/Anaxyrus_americanus/,7.5,75mm https://animaldiversity.org/accounts/Anaxyrus_americanus/,Y,winter,burrow in winter (https://animaldiversity.org/accounts/Anaxyrus_americanus/),non-migratory,taxa,NA,NA,NA,6,AmphibiaWeb,Nikki,1825,5 years max+ 1 year average (AmphibiaWeb + ADW),
no,Desmarestia,viridis,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,gametophyte,12,fertile sporophyte from zygote after minimum 2 months+ gametophyte became fertile after min 12 days (Nakahara+ H. (1984). Alternation of generations of some brown algae in unialgal and axenic cultures. 北海道大學理學部海藻研究所歐文報告= Scientific papers of the Institute of Algological Research+ Faculty of Science+ Hokkaido University+ 7(2)+ 77-194.),12,fertile sporophyte from zygote after minimum 2 months+ gametophyte became fertile after min 12 days (Nakahara+ H. (1984). Alternation of generations of some brown algae in unialgal and axenic cultures. 北海道大學理學部海藻研究所歐文報告= Scientific papers of the Institute of Algological Research+ Faculty of Science+ Hokkaido University+ 7(2)+ 77-194.),Y,1-10,based on microscopic gametophyte in genus and dispersal of aculeata (https://www.tandfonline.com/doi/pdf/10.1080/00071619200650271),,,0.1,"microscopic gametophyte
any stage:  grows solitary to 2m long (https://en.wikipedia.org/wiki/Desmarestia_viridis)",,,,,,Feb - Oct,growth season of sporophyte is Feb to Oct so assume gametophyte is opposite (Blain+ C. O. H. (2013). Acid (H₂S0₄) production+ persistence+ and functional importance of the annual+ brown seaweed Desmarestia viridis in Newfoundland+ Canada (Doctoral dissertation+ Memorial University of Newfoundland),non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,365,annual (https://doi.org/10.1016/j.jembe.2012.12.013),
no,Desmarestia,aculeata,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,gametophyte,7,mature gametophyte after 7 days min+ mature sporophyte within two weeks (https://doi.org/10.1139/b86-389),7,mature gametophyte after 7 days min+ mature sporophyte within two weeks (https://doi.org/10.1139/b86-389),Y,1-10,5km from nearest plant (https://www.tandfonline.com/doi/pdf/10.1080/00071619200650271),,,0.1,"microscopic gametophyte
any stage: 1 m but not the best source (https://www.vattenkikaren.gu.se/fakta/arter/algae/phaeophy/desmacul/desmace.html)",,,,,,spring - Nov,sporophyte present spring-nov+ and gametophyte opposite (https://doi.org/10.2216/i0031-8884-10-1-63.1),non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,unk,perennial (http://cfb.unh.edu/phycokey/Choices/Fucophyceae/DESMARESTIA/Desmarestia_key.htm),
no,Desmarestia,herbacea,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,gametophyte,150,sporophytes grow in summer+ reproduce Nov+ gametophyte is microscopic and lies dormant during winter+ fertilization occurs in spring+ first recruitment april 4 - becomes reproductive at the end of its life cycle (https://digitalcommons.csumb.edu/caps_thes_all/226),150,sporophytes grow in summer+ reproduce Nov+ gametophyte is macroscopic and lies dormant during winter+ fertilization occurs in spring+ first recruitment april 4 - becomes reproductive at the end of its life cycle (https://digitalcommons.csumb.edu/caps_thes_all/226),Y,1-10,"based on microscopic gametophyte in genus and dispersal of aculeata (https://www.tandfonline.com/doi/pdf/10.1080/00071619200650271)
release microscopic dormant spores that last a couple months (https://doi.org/10.1890/0012-9658(1997)078[2443:TRORSI]2.0.CO;2) and low intertidal to subtidal depths of 15 m and is widely distributed in the
eastern Pacific (https://digitalcommons.csumb.edu/caps_thes_all/226)
",,,0.1,"microscopic gametophyte
any stage: 1 m (http://www.marinespecies.org/aphia.php?p=taxdetails&id=145309#attributes)",,,,,,spring - summer - fall,3-4 month microscopic gametophyte during winter (https://doi.org/10.1890/0012-9658(1997)078[2443:TRORSI]2.0.CO;2),non-migratory,taxa,NA,NA,NA,NA,NA,Nikki,365,annual (https://doi.org/10.1016/S0022-0981(98)00046-X),Syn: D. lingulata (https://doi.org/10.1080/00071617400650231)
no,Desmarestia,willii,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,gametophyte,unk,,unk,,,1-10,based on microscopic gametophyte in genus and dispersal of aculeata (https://www.tandfonline.com/doi/pdf/10.1080/00071619200650271),,,0.1,"microscopic gametophyte
any stage: 1.5 m (http://www.koreascience.or.kr/article/JAKO200112242747946.page)",,,,,,spring - summer - fall,same life history as other annuals in genus+ so assume the same ,non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,365,annual (DOI: 10.1515/BOT.2001.060),
no,Dictyosiphon,foeniculaceus,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,gametophyte,28,gametes released after 4 weeks (https://doi.org/10.1007/BF01987412),28,were able to go from spores to mature microthallii in experiment (no sex) (https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/48103/1/8(1)_31-61.pdf),gametes released after 4 weeks (https://doi.org/10.1007/BF01987412),0-1,female gametes settled 3-4 hours after release (https://doi.org/10.1007/BF01987412),,,0.1,"gamete in form of microthalli (https://www.algaebase.org/search/genus/detail/?genus_id=63)
any stage: 600 mm (Atlantic Seashore: A Field Guide to Sponges+ Jellyfish+ Sea Urchins+ and More)",,,,,,none,its an annual and transition from gametophyte to sporophyte seems rapid. http://www.seaweedsofalaska.com/species.asp?SeaweedID=233. https://hmr.biomedcentral.com/track/pdf/10.1007/BF01987412. but it can also reproduce clonally.  ,non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,365,annual (http://www.seaweedsofalaska.com/species.asp?SeaweedID=233),
no,Dictyosiphon,hirsutus,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,gametophyte,unk,were able to go from spores to microthallii in experiment and do gametophyte-crosses+ dont mention that it took a long time. seems like under lab conidtions must happen quickly (https://doi.org/10.1080/00071619200650181),unk,were able to go from spores to microthallii in experiment and do gametophyte-crosses+ dont mention that it took a long time. seems like under lab conidtions must happen quickly (https://doi.org/10.1080/00071619200650181),,0-1,female gametes settle 1 hour after release (https://doi.org/10.1080/00071619200650181),,,0.1,microscopic dioecious gametophytes (https://doi.org/10.1080/00071619200650181),,,,,,summer,in falkland islands at least the species (sporophte) occurs as a summer annual. assume that gametophytes show opposite pattern  10.1080/00071619200650181,non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,365,annual (https://doi.org/10.1080/00071619200650181),
no,Dumontia,contorta,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,microthalli,180,6 months from spore to microthalli producing carpospore (https://www.jstor.org/stable/24812957),180,6 months from spore to microthalli producing carpospore (https://www.jstor.org/stable/24812957),Y,unk,microthallii doesnt disperse at all but spores must,,,unk,140mm (https://doi.org/10.1007/BF02365626),,,,,,none,species=complicated with 3 structurally different 'portions': 1) crustose stage (basal disc) = microthallus+ 2) juvenille erect thallus+ 3) mature thallus. + the gemotpphyte which they dont talk about doi 10.1111/j.0022-3646.1984.00336. 'erect gametophytic macrothallii araise from crustose microthallii in Oct-Nov+ reproductive structures not seen until Apr/May. AFter spores releases macrothallus appears to decay such that none are left in Sept+ although some basal remnants were frequently observed (can species regrow from these? doesnt say). 'microthallus collected year round+ suggesting it acts as a perennial even though the macrothallus acts as an annual. (pg 344),non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,unk,perennial (https://www.int-res.com/articles/meps/4/m004p023.pdf),
no,Haplogloia,andersonii,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,gametophyte,52,1 week + 6 weeks + 3 days until mature gametophyte from spore (https://doi.org/10.1111/j.0022-3646.1992.00684.x),52,1 week + 6 weeks + 3 days until mature gametophyte from spore+ no study of sexual cycle (https://doi.org/10.1111/j.0022-3646.1992.00684.x),Y,1-10,has microsporophyte cells that float around for some distance before and after fertilization,,,0.1,microscopic discoid gametophytes (https://ucjeps.berkeley.edu/guide/brown42.html),,,,,,summer,annual sporophytes appearing in the spring and summer+ becoming fertile sooner in the south than in the north . So assume that gametophytes are produced mid summer and last until spring. http://ucjeps.berkeley.edu/guide/brown42.html,non-migratory,taxa,NA,NA,NA,NA,NA,ALH/Nikki,365,"""it is a spring annual..."" guessing gametpphytes produced in summer and last until spring",
