num,reference,in_text
336,"Peters, A. F., Kawai, H., & Novaczek, I. (1993). Intraspecific sterility barrier confirms that introduction of Sphaerotrichia divaricata (Phaeophyceae, Chordariales) into the Mediterranean was from Japan. Hydrobiologia, 260–261(1). https://doi.org/10.1007/BF00049000"," A. F. Peters et al., 1993"
337,"Peters, K. M. (1983). Larval and Early Juvenile Development of the Frillfin Goby, Bathygobius soporator (Perciformes: Gobiidae). Northeast Gulf Science, 6(2). https://doi.org/10.18785/negs.0602.07"," K. M. Peters, 1983"
338,"Peters, L. M., Pegg, M. A., & Reinhardt, U. G. (2006). Movements of Adult Radio-Tagged Bighead Carp in the Illinois River. Transactions of the American Fisheries Society, 135(5), 1205–1212. https://doi.org/10.1577/t05-162.1"," L. M. Peters et al., 2006"
339,"Peterson, N. R., VanDeHey, J. A., & Willis, D. W. (2010). Size and age at maturity of bluegill (lepomis macrochirus) in southeastern south dakota impoundments. Journal of Freshwater Ecology, 25(2), 303–312. https://doi.org/10.1080/02705060.2010.9665081"," Peterson et al., 2010"
340,"Phillips, E. C., Ewert, Y., & Speares, P. A. (2007). Fecundity, Age and Growth, and Diet of Fundulus diaphanus (Banded Killifish) in Presque Isle Bay, Lake Erie. Northeastern Naturalist, 14(2), 269–278. https://doi.org/10.1656/1092-6194(2007)14[269:faagad]2.0.co;2"," Phillips et al., 2007"
341,"Piersanti, S., Rebora, M., Salerno, G., Cordero-Rivera, A., & Frati, F. (2015). A method for rearing a large number of damselflies (Ischnura elegans, Coenagrionide) in the laboratory. International Journal of Odonatology. https://doi.org/10.1080/13887890.2015.1015179"," Piersanti et al., 2015"
342,"Pilorge, T. (1987). Density, size structure, and reproductive characteristics of three populations of Lacerta vivipara (Sauria: Lacertidae). Herpetologica."," Pilorge, 1987"
343,"Poepoe, K. K., Bartram, P. K., & Friedlander, A. M. (2003). The use of traditional Hawaiian knowledge in the contemporary management of marine resources. Putting Fishers’ Knowledge to Work."," Poepoe et al., 2003"
344,"Pon Saravana Karman, A., Raj Kumar, M., & Venkataramani, V. K. (2014). Age and growth study of Etroplus suratensis (Bloch, 1790) Western Ghats of Tamiraparani river, India. Ecology, Environment and Conservation."," Pon Saravana Karman et al., 2014"
345,"Popova, O. A., Reshetnikov, Y. S., Kiyashko, V. I., Dgebuadze, Y. Y., & Mikheev, V. N. (1998). Ruffe from the former USSR: Variability within the largest part of its natural range. Journal of Great Lakes Research, 24(2), 263–284. https://doi.org/10.1016/S0380-1330(98)70818-4"," Popova et al., 1998"
346,"Pot, R., Klein, B., Rietema, H., & van den Hoek, C. (1988). A field study on the growth and development of Dumontia contorta. Helgoländer Meeresuntersuchungen, 42(3–4), 553–562. https://doi.org/10.1007/BF02365626"," Pot et al., 1988"
347,"Powders, V. N. (1973). Cannibalism by the Slimy Salamander, Plethodon glutinosus in Eastern Tennessee. Journal of Herpetology. https://doi.org/10.2307/1563215"," Powders, 1973"
348,"Powlik, J. J., Lewis, A. G., & Spaeth, M. (1997). Development body length, and feeding of Tigriopus californicus (Copepoda, Harpacticoida) in laboratory and field populations. Crustaceana. https://doi.org/10.1163/156854097X00609"," Powlik et al., 1997"
349,"Pratt, S. C. (2008). Efficiency and regulation of recruitment during colony emigration by the ant Temnothorax curvispinosus. Behavioral Ecology and Sociobiology, 62(8), 1369–1376. https://doi.org/10.1007/s00265-008-0565-9"," Pratt, 2008"
350,"Propst, D. L., Bestgen, K. r., & Painter, C. W. (1986). Distribution, status, biology and conservation of the spikedace (Meda fulgida) in New Mexico. In Journal of Chemical Information and Modeling (Vol. 53, Issue 9). https://doi.org/10.1017/CBO9781107415324.004"," Propst et al., 1986"
351,"Puckridge, J. T., & Walker, K. F. (1990). Reproductive biology and larval development of a gizzard shad, Nematalosa erebi (Günther) (dorosomatinae: Teleostei), in the River Murray, South Australia. Marine and Freshwater Research, 41(6), 695–712. https://doi.org/10.1071/MF9900695"," Puckridge & Walker, 1990"
352,"Pyke, G. H. (2005). A review of the biology of Gambusia affinis and G. holbrooki. In Reviews in Fish Biology and Fisheries (Vol. 15, Issue 4, pp. 339–365). https://doi.org/10.1007/s11160-006-6394-x"," Pyke, 2005"
353,"Pyke, G. H., White, A. W., Shoulder, J., & Ching, P. (2010). Using museum frog collections to assign sex and age categories to frogs in field studies: A case study with the striped marsh frog, Limnodynastes peronii. Herpetological Review."," Pyke et al., 2010"
354,"Quattro, J. M., Greig, T. W., Coykendall, D. K., Bowen, B. W., & Baldwin, J. D. (2002). Genetic issues in aquatic species management: The shortnose sturgeon (Acipenser brevirostrum) in the southeastern United States. Conservation Genetics, 3(2), 155–166. https://doi.org/10.1023/A:1015275602748"," Quattro et al., 2002"
355,"Raney, E. C., & Lachner, E. A. (1946). Age, Growth, and Habits of the Hog Sucker, Hypentelium nigricans (LeSueur), in New York. American Midland Naturalist, 36(1), 76. https://doi.org/10.2307/2421622"," Raney & Lachner, 1946"
356,"Reed, D. C., Anderson, T. W., Ebeling, A. W., & Anghera, M. (1997). The role of reproductive synchrony in the colonization potential of kelp. Ecology, 78(8). https://doi.org/10.1890/0012-9658(1997)078[2443:TRORSI]2.0.CO;2"," Reed et al., 1997"
357,"Reid, W. D. K., Clarke, S., Collins, M. A., & Belchier, M. (2007). Distribution and ecology of Chaenocephalus aceratus (Channichthyidae) around South Georgia and Shag Rocks (Southern Ocean). Polar Biology. https://doi.org/10.1007/s00300-007-0313-z"," Reid et al., 2007"
358,"Riede, K. (2004). Global register of migratory species - from global to regional scales. Final Report of the R&D-Projekt 808 05 081. Federal Agency for Nature Conservation."," Riede, 2004"
359,"Riesch, R., Plath, M., & Schlupp, I. (2010). Toxic hydrogen sulfide and dark caves: Life-history adaptations in a livebearing fish (Poecilia mexicana, Poeciliidae). Ecology, 91(5), 1494–1505. https://doi.org/10.1890/09-1008.1"," Riesch et al., 2010"
360,"Rietema, H., & Klein, A. (1981). Environmental Control of the Life Cycle of Dumontia contorta (Rhodophyta) Kept in Culture. Marine Ecology Progress Series, 4, 23–29. https://doi.org/10.3354/meps004023"," Rietema & Klein, 1981"
361,"Říha, M., Hladík, M., Mrkvička, T., Prchalová, M., Čech, M., Draštík, V., Frouzová, J., Jůza, T., Kratochvíl, M., Peterka, J., Vašek, M., & Kubečka, J. (2013). Post-spawning dispersal of tributary spawning fish species to a reservoir system. Folia Zoologica, 62(1), 1–13. https://doi.org/10.25225/fozo.v62.i1.a1.2013"," Říha et al., 2013"
362,"Riley, L., McGlaughlin, M. E., & Helenurm, K. (2019). Limited Genetic Variability in Native Buckwheats (Eriogonum: Polygonaceae) on San Clemente Island. Western North American Naturalist, 78(4). https://doi.org/10.3398/064.078.0413"," Riley et al., 2019"
363,"Roberts, J. D., & Edwards, D. (2018). The evolution, physiology and ecology of the australian arid-zone frog fauna. In On the Ecology of Australia’s Arid Zone (pp. 149–180). https://doi.org/10.1007/978-3-319-93943-8_7"," Roberts & Edwards, 2018"
364,"Robinson, A. T., Clarkson, R. W., & Forrest, R. E. (1998). Dispersal of Larval Fishes in a Regulated River Tributary. Transactions of the American Fisheries Society, 127(5), 772–786. https://doi.org/10.1577/1548-8659(1998)127<0772:dolfia>2.0.co;2"," Robinson et al., 1998"
365,"Roble, S. M. (1979). Dispersal Movements and Plant Associations of Juvenile Gray Treefrogs, Hyla versicolor Le Conte. Transactions of the Kansas Academy of Science, 82(4), 235–245. https://doi.org/10.2307/3627136"," Roble, 1979"
366,"RodrÍguez-Robles, J. A., Jezkova, T., & Leal, M. (2010). Climatic stability and genetic divergence in the tropical insular lizard Anolis krugi, the Puerto Rican “Lagartijo Jardinero de la Montaña.” Molecular Ecology. https://doi.org/10.1111/j.1365-294X.2010.04616.x"," RodrÍguez-Robles et al., 2010"
367,"Rodríguez, C. Y., Bustos, D. A., & Sanabria, E. A. (2019). Adaptation of the andean toad rhinella spinulosa (Anura: Bufonidae) at low temperatures: The role of glucose as cryoprotectant. Physiological and Biochemical Zoology, 89(3–4), 249–274. https://doi.org/10.1086/705122"," Rodríguez et al., 2019"
368,"Roitberg, E. S., & Smirina, E. M. (2006). Adult body length and sexual size dimorphism in Lacerta agilis boemica ( Reptilia , Lacertidae ): between-year and interlocality variation. North."," Roitberg & Smirina, 2006"
369,"Roma, J., Dias, M., Vinagre, C., & Silva, A. C. F. (2018). Site fidelity of intertidal fish to rockpools. Journal of Applied Ichthyology, 34(3). https://doi.org/10.1111/jai.13553"," Roma et al., 2018"
370,"Rowley, J. J. L., & Alford, R. A. (2007). Movement patterns and habitat use of rainforest stream frogs in northern Queensland, Australia: Implications for extinction vulnerability. Wildlife Research, 34(5), 371–378. https://doi.org/10.1071/WR07014"," Rowley & Alford, 2007"
371,"Runyan, S. (1961). Early development of the clingfish, Gobeisox strumosus cope. Chesapeake Science, 2(3), 113–141. https://doi.org/10.2307/1351173"," Runyan, 1961"
372,"Russell, A. P., Powell, G. L., & Hall, D. R. (1996). Growth and age of Alberta long-toed salamanders (Ambystoma macrodactylum krausei): A comparison of two methods of estimation. In Canadian Journal of Zoology (Vol. 74, Issue 3, pp. 397–412). https://doi.org/10.1139/z96-047"," A. P. Russell et al., 1996"
373,"Russell, D. J., & Garrett, R. N. (1988). Movements of juvenile barramundi, lates calcarifer (Bloch), in north-eastern Queensland. Marine and Freshwater Research, 39(1), 117–123. https://doi.org/10.1071/MF9880117"," D. J. Russell & Garrett, 1988"
374,"Sabat, A. M. (1994). Costs and benefits of parental effort in a brood-guarding fish (Ambloplites rupestris, centrarchidae). Behavioral Ecology, 5(2), 195–201. https://doi.org/10.1093/beheco/5.2.195"," Sabat, 1994"
375,"Saga, N. (1986). Regulation of life cycle in epiphytic brown algae, Dictyosiphon foeniculaceus."," Saga, 1986"
376,"Saha, S., & Kabir, M. (2015). Breeding and seed production of green back mullet, Chelon subviridis (val. 1836). Bangladesh Journal of Zoology, 42(1), 129–132. https://doi.org/10.3329/bjz.v42i1.23344"," Saha & Kabir, 2015"
377,"Saila, S. B., Polgar, T. T., Sheehy, D. J., & Flowers, J. M. (1972). Correlations Between Alewife Activity and Environmental Variables at a Fishway. Transactions of the American Fisheries Society, 101(4), 583–594. https://doi.org/10.1577/1548-8659(1972)101<583:cbaaae>2.0.co;2"," Saila et al., 1972"
378,"Saimoto, R. S. (1993). Reproductive and natal homing of marine threesprine sticklebacks (Gasterosteus aculeatus) (Issue September). University of British Columbia."," Saimoto, 1993"
379,"Sakaris, P. C., Jesien, R. V., & Pinkney, A. E. (2005). Brown Bullhead as an Indicator Species: Seasonal Movement Patterns and Home Ranges within the Anacostia River, Washington, D.C. Transactions of the American Fisheries Society, 134(5), 1262–1270. https://doi.org/10.1577/t04-086.1"," Sakaris et al., 2005"
380,"Saksena, V. P., & Joseph, E. B. (1972). Dissolved oxygen requirements of newly-hatched larvae of the striped blenny (Chasmodes bosquianus), the naked goby (Gobiosoma bosci), and the skilletfish (Gobiesox strumosus). Chesapeake Science, 13(1), 23–28. https://doi.org/10.2307/1350547"," Saksena & Joseph, 1972"
381,"Sarabia-Méndez, M., Gallardo-Cabello, M., Espino-Barr, E., & Anislado-Tolentino, V. (2010). Characteristics of population dynamics of Lutjanus guttatus (Pisces: Lutjanidae) in Bufadero Bay, Michoacán, Mexico. Hidrobiologica."," Sarabia-Méndez et al., 2010"
382,"Saveliev, S. S., Bulakhova, N. a, & Kuranova, V. N. (2006). Reproductive activity of Lacerta agilis and Zootoca vivipara (Reptilia: Sauria: Lacertidae) in western Siberia. Proceedings of the 13th Congress of the Societas Europaea Herpetologica. Pp, 133–137. http://www.lacerta.de/AS/Bibliografie/BIB_1100.pdf%5Cnpapers2://publication/uuid/1B3F0DF5-E7A8-4236-9678-95F65103B63F"," Saveliev et al., 2006"
383,"Scheele, B. C., Foster, C. N., Hunter, D. A., Lindenmayer, D. B., Schmidt, B. R., & Heard, G. W. (2019). Living with the enemy: Facilitating amphibian coexistence with disease. In Biological Conservation. https://doi.org/10.1016/j.biocon.2019.05.032"," Scheele et al., 2019"
384,"Schlosser, I. J. (1995). Dispersal, boundary processes, and trophic-level interactions in streams adjacent to beaver ponds. Ecology, 76(3), 908–925. https://doi.org/10.2307/1939356"," Schlosser, 1995"
385,"Schofield, C. J. (1986). Bench Aids for the diagnosis of human malaria. Parasitology Today, 2(12), 362. https://doi.org/10.1016/0169-4758(86)90062-1"," Schofield, 1986"
386,"Schrank, G. D., & Ballinger, R. E. (1973). Male Reproductive Cycles in Two Species of Lizards (Cophosaurus texanus and Cnemidophorus gularis). Herpetologica."," Schrank & Ballinger, 1973"
387,"Schwenke, A. C. (2016). Riparian vegetation condition influences movement and microhabitat use by Mixophyes fasciolatus in South East Queensland. Queensland University of Technology."," Schwenke, 2016"
388,"Scott, D. E., & Petranka, J. W. (1999). Salamanders of the United States and Canada. Copeia. https://doi.org/10.2307/1447629"," D. E. Scott & Petranka, 1999"
389,"Scott, W. B., & Crossman, E. J. (1973). Freshwater Fishes of Canada. Fisheries Research Board of Canada. https://doi.org/10.1002/iroh.19760610109"," W. B. Scott & Crossman, 1973"
390,"Secor, D. H., Houde, E. D., & Monteleone, D. M. (1995). A mark-release experiment on larval striped bass Morone saxatilis in a Chesapeake Bay tributary. ICES Journal of Marine Science, 52(1), 87–101. https://doi.org/10.1016/1054-3139(95)80018-2"," Secor et al., 1995"
391,"Shubodha. (2012). Length Weight Relationship (LWR), Growth estimation and Length at maturity of Etroplus suratensis in Chilika Lagoon, Orissa, India. International Journal of Environmental Sciences. https://doi.org/10.6088/ijes.00202030012"," Shubodha, 2012"
392,"Simmons, B. R., & Beckman, D. W. (2012). Age determination, growth, and population structure of the striped shiner and duskystripe shiner. Transactions of the American Fisheries Society. https://doi.org/10.1080/00028487.2012.680386"," Simmons & Beckman, 2012"
393,"Singleman, C., & Holtzman, N. G. (2014). Growth and maturation in the zebrafish, Danio Rerio: A staging tool for teaching and research. Zebrafish, 11(4). https://doi.org/10.1089/zeb.2014.0976"," Singleman & Holtzman, 2014"
394,"Skinner, M. A., Courtenay, S. C., Parker, W. R., & Curry, R. A. (2005). Site fidelity of mummichogs (Fundulus heteroclitus) in an Atlantic Canadian Estuary. Water Quality Research Journal of Canada, 40(3), 288–298. https://doi.org/10.2166/wqrj.2005.034"," Skinner et al., 2005"
395,"Skov, C., Chapman, B. B., Baktoft, H., Brodersen, J., Brönmark, C., Hansson, L. A., Hulthén, K., & Nilsson, P. A. (2013). Migration confers survival benefits against avian predators for partially migratory freshwater fish. Biology Letters, 9(2), 20121178. https://doi.org/10.1098/rsbl.2012.1178"," Skov et al., 2013"
396,"Smith, M. A., & Green, D. M. (2005). Dispersal and the metapopulation paradigm in amphibian ecology and conservation: Are all amphibian populations metapopulations? In Ecography (Vol. 28, Issue 1, pp. 110–128). https://doi.org/10.1111/j.0906-7590.2005.04042.x","Smith & Green, 2005"
397,"Smith, O. H., & Van Oosten, J. (1940). Tagging Experiments with Lake Trout, Whitefish, and Other Species of Fish from Lake Michigan. Transactions of the American Fisheries Society, 69(1), 63–84. https://doi.org/10.1577/1548-8659(1939)69[63:tewltw]2.0.co;2"," O. H. Smith & Van Oosten, 1940"
398,"Smithson, E. B., & Johnston, C. E. (1999). Movement Patterns of Stream Fishes in a Ouachita Highlands Stream: An Examination of the Restricted Movement Paradigm. Transactions of the American Fisheries Society. https://doi.org/10.1577/1548-8659(1999)128<0847:mposfi>2.0.co;2"," Smithson & Johnston, 1999"
399,"Somero, G. N., & DeVries, A. L. (1967). Temperature tolerance of some antarctic fishes. Science, 156(3772), 257–258. https://doi.org/10.1126/science.156.3772.257"," Somero & DeVries, 1967"
400,"Sommer, T. R., Harrell, W. C., Matica, Z., & Feyrer, F. (2008). Habitat Associations and Behavior of Adult and Juvenile Splittail (Cyprinidae: Pogonichthys macrolepidotus) in a Managed Seasonal Floodplain Wetland. San Francisco Estuary and Watershed Science."," Sommer et al., 2008"
401,"Sorci, G., & Clobert, J. (1995). Effects of maternal parasite load on offspring life‐history traits in the common lizard (Lacerta vivipara). Journal of Evolutionary Biology, 8(6), 711–723. https://doi.org/10.1046/j.1420-9101.1995.8060711.x"," Sorci & Clobert, 1995"
402,"Southwood, A., & Avens, L. (2010). Physiological, behavioral, and ecological aspects of migration in reptiles. In Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology (Vol. 180, Issue 1, pp. 1–23). https://doi.org/10.1007/s00360-009-0415-8"," Southwood & Avens, 2010"
403,"Spares, A. D., Nau, G. S., Mclellan, N., & Stokesbury, M. J. W. (2016). Case Studies IV: An Evaluation of Fishway Passage and Spawning Migration Survival for Alewife. International Conference on Engineering and Ecohydrology for Fish Passage, 12."," Spares et al., 2016"
404,"Stahl, M. P. (1975). Agnostic behavior of some gobiid fishes from the Gulf of California. University of Arizona."," Stahl, 1975"
405,"Starnes, L. B., Hackney, P. A., & McDonough, T. A. (1983). Larval Fish Transport: A Case Study of White Bass. Transactions of the American Fisheries Society, 112(3), 390–397. https://doi.org/10.1577/1548-8659(1983)112<390:lft>2.0.co;2"," Starnes et al., 1983"
406,"Stockwell, M. P., Clulow, J., & Mahony, M. J. (2015). Evidence of a salt refuge: chytrid infection loads are suppressed in hosts exposed to salt. Oecologia, 177(3), 901–910. https://doi.org/10.1007/s00442-014-3157-6"," Stockwell et al., 2015"
407,"Stott, B. (1967). The Movements and Population Densities of Roach (Rutilus rutilus (L.)) and Gudgeon (Gobio gobio (L.)) in the River Mole. The Journal of Animal Ecology, 36(2), 407. https://doi.org/10.2307/2922"," Stott, 1967"
408,"Strijbosch, H., Van Rooy, P. T. J. C., & Voesenek, L. A. C. J. (1983). Homing behaviour of Lacerta agilis and Lacerta vivipara (Sauria, Lacertidae). Amphibia-Reptilia, 4(1). https://doi.org/10.1163/156853883x00256"," Strijbosch et al., 1983"
409,"Strydom, N. A., & D’Hotman, B. D. (2005). Estuary-dependence of larval fishes in a non-estuary associated South African surf zone: Evidence for continuity of surf assemblages. Estuarine, Coastal and Shelf Science, 63(1–2), 101–108. https://doi.org/10.1016/j.ecss.2004.10.013"," Strydom & D’Hotman, 2005"
410,"Stuart, I. G., & Jones, M. J. (2006). Movement of common carp, Cyprinus carpio, in a regulated lowland Australian river: Implications for management. Fisheries Management and Ecology, 13(4), 213–219. https://doi.org/10.1111/j.1365-2400.2006.00495.x"," Stuart & Jones, 2006"
411,"Sugg, D. W., Fitzgerald, L. A., & Snell, H. L. (1995). Growth rate, timing of reproduction, and size dimorphism in the southwestern earless lizard (Cophosaurus texanus scitulus). Southwest Nat."," Sugg et al., 1995"
412,"Swanson, C., Reid, T., Young, P. S., & Cech, J. J. (2000). Comparative environmental tolerances of threatened delta smelt (Hypomesus transpacificus) and introduced wakasagi (H. nipponensis) in an altered California estuary. Oecologia, 123(3), 384–390. https://doi.org/10.1007/s004420051025"," Swanson et al., 2000"
413,Swee J. Teh. (2007). Final Report of Histopathological Evaluation of Starvation and/or Toxic Effects on Pelagic Fishes: Pilot Study of the Health Status of 2005 Adult Delta Smelt in the Upper San Francisco Estuary.," Swee J. Teh, 2007"
414,"Takegaki, T., Kaneko, T., & Matsumoto, Y. (2012). Large- and small-size advantages in sneaking behaviour in the dusky frillgoby Bathygobius fuscus. Naturwissenschaften. https://doi.org/10.1007/s00114-012-0899-z"," Takegaki et al., 2012"
415,"Tanner, W. W., & Hopkin, J. M. (1971). Ecology of Sceloporus occidentalis longipes Baird and Uta stansburiana stansburiana Baird and Girard on Rainier Mesa, Nevada Test Site, Nye County, Nevada. Brigham Young University Science Bulletin - Biological Series, 15(4), 1–39."," Tanner & Hopkin, 1971"
416,"Tarkan, A. S., Almeida, D., Godard, M. J., Gaygusuz, Ö., Rylands, M., Sayer, C. D., Zieba, G., & Copp, G. H. (2016). A review and meta-analysis of growth and life-history traits of a declining European freshwater fish, crucian carp Carassius carassius. Aquatic Conservation: Marine and Freshwater Ecosystems. https://doi.org/10.1002/aqc.2580"," Tarkan et al., 2016"
417,"Taru, M., Kanda, T., & Sunobe, T. (2002). Alternative mating tactics of the gobiid fish Bathygobius fuscus. Journal of Ethology, 20(1), 9–12. https://doi.org/10.1007/s10164-002-0047-x"," Taru et al., 2002"
418,"Tavolga, W. N. (1954). Reproductive behavior in the gobiid fish Bathygobius soporator. Bulletin of the American Museum of Natural History, 104, 427–460."," Tavolga, 1954"
419,"Taylor, C. M., & Miller, R. J. (1990). Reproductive Ecology and Population Structure of the Plains Minnow, Hybognathus placitus (Pisces: Cyprinidae), in Central Oklahoma. American Midland Naturalist, 123(1), 32. https://doi.org/10.2307/2425757"," C. M. Taylor & Miller, 1990"
420,"Taylor, E. B., & McPhail, J. D. (1986). Prolonged and burst swimming in anadromous and freshwater threespine stickleback, Gasterosteus aculeatus. Canadian Journal of Zoology, 64(2), 416–420. https://doi.org/10.1139/z86-064"," E. B. Taylor & McPhail, 1986"
421,"Taylor, J. M., & Calaby, J. H. (1988). Rattus fuscipes. Mammalian Species, 298, 1–8. https://doi.org/10.2307/3503837"," J. M. Taylor & Calaby, 1988"
422,"Thompson, D. J. (1978). Towards a Realistic Predator-Prey Model: The Effect of Temperature on the Functional Response and Life History of Larvae of the Damselfly, Ischnura elegans. The Journal of Animal Ecology, 47(3), 757. https://doi.org/10.2307/3669"," Thompson, 1978"
423,"Thorsen, M. J., Dickinson, K. J. M., & Seddon, P. J. (2009). Seed dispersal systems in the New Zealand flora. In Perspectives in Plant Ecology, Evolution and Systematics (Vol. 11, Issue 4, pp. 285–309). https://doi.org/10.1016/j.ppees.2009.06.001","Thorsen et al., 2009"
424,"Timmermans, M. J. T. N., Ellers, J., Mariën, J., Verhoef, S. C., Ferwerda, E. B., & Van Straalen, N. M. (2005). Genetic structure in Orchesella cincta (Collembola): Strong subdivision of European populations inferred from mtDNA and AFLP markers. Molecular Ecology, 14(7), 2017–2024. https://doi.org/10.1111/j.1365-294X.2005.02548.x"," Timmermans et al., 2005"
425,"Tudorache, C., Burgerhout, E., Brittijn, S., & van den Thillart, G. (2015). Comparison of swimming capacity and energetics of migratory European eel (Anguilla anguilla) and New Zealand short-finned eel (A. australis). Frontiers in Physiology, 6(SEP). https://doi.org/10.3389/fphys.2015.00256"," Tudorache et al., 2015"
426,"Tyler, M. J., & Doughty, P. (2009). Field Guide to Frogs of Western Australia (4th ed.). Western Australian Museum."," Tyler & Doughty, 2009"
427,"Umezaki, I. (1990). Life history of Acrothrix pacifica and Sphaerotrichia divaricata in laboratory. In I. J. Dogma Jr., G. C. Trono Jr., & R. A. Tabbada (Eds.), Culture and use of algae in Southeast Asia: Proceedings of the Symposium on Culture and Utilization of Algae in Southeast Asia (pp. 31–38)."," Umezaki, 1990"
428,"Upton, R., Clulow, S., Mahony, M. J., & Clulow, J. (2018). Generation of a sexually mature individual of the Eastern dwarf tree frog, Litoria fallax, from cryopreserved testicular macerates: Proof of capacity of cryopreserved sperm derived offspring to complete development. Conservation Physiology, 6(1). https://doi.org/10.1093/conphys/coy043"," Upton et al., 2018"
429,"Vaira, M. (2005). Annual variation of breeding patterns of the toad, Melanophryniscus rubriventris (Vellard, 1947). Amphibia Reptilia, 26(2), 193–199. https://doi.org/10.1163/1568538054253519"," Vaira, 2005"
430,"Van de Putte, A. (2008). Ecology and evolution of fishes in the Southern Ocean, with special focus on the myctophid Electrona antarctica (Issue January 2008). Catholic University Leuven."," A. Van de Putte, 2008"
431,"Van de Putte, A. P., Janko, K., Kasparova, E., Maes, G. E., Rock, J., Koubbi, P., Volckaert, F. A. M., Choleva, L., Fraser, K. P. P., Smykla, J., Van Houdt, J. K. J., & Marshall, C. (2012). Comparative phylogeography of three trematomid fishes reveals contrasting genetic structure patterns in benthic and pelagic species. Marine Genomics, 8(12), 23–34. https://doi.org/10.1016/j.margen.2012.05.002"," A. P. Van de Putte et al., 2012"
432,"Van Den Heuvel, M. R., Michel, C., Stevens, M. I., Clarke, A. C., Stölting, K. N., Hicks, B. J., & Tremblay, L. A. (2007). Monitoring the effects of pulp and paper effluent is restricted in genetically distinct populations of common bully (Gobiomorphus cotidianus). Environmental Science and Technology, 41(7), 2602–2608. https://doi.org/10.1021/es061922q"," Van Den Heuvel et al., 2007"
433,"van Den Hoek, C., Mann, D. G., & Jahns, H. M. (1995). Algae: An Introduction to Phycology. In European Journal of Phycology. Cambridge University Press. https://doi.org/10.1017/s096702629621100x"," van Den Hoek et al., 1995"
434,"Van Noordwijk, C. G. E., Verberk, W. C. E. P., Turin, H., Heijerman, T., Alders, K., Dekoninck, W., Hannig, K., Regan, E., Mccormack, S., Brown, M. J. F., Remke, E., Siepel, H., Berg, M. P., & Bonte, D. (2015). Species - Area relationships are modulated by trophic rank, habitat affinity, and dispersal ability. Ecology, 96(2), 518–531. https://doi.org/10.1890/14-0082.1"," Van Noordwijk et al., 2015"
435,"Janse van Rensburg, L. (2006). A morphological analysis of weevils from sub-Antarctic Prince Edward Islands: an assessment of ecological influences [University of Pretoria]. http://www.repository.up.ac.za/handle/2263/27500","Janse van Rensburg, 2006"
436,"Vanderduys, E. (2019). Field Guide to the Frogs of Queensland. In Field Guide to the Frogs of Queensland. https://doi.org/10.1071/9780643108790"," Vanderduys, 2019"
437,"Verdú, J. R. (2011). Chill tolerance variability within and among populations in the dung beetle Canthon humectus hidalgoensis along an altitudinal gradient in the mexican semiarid high plateau. Journal of Arid Environments, 75(2). https://doi.org/10.1016/j.jaridenv.2010.09.010"," Verdú, 2011"
438,"Verwaijen, D., & Van Damme, R. (2008). Wide home ranges for widely foraging lizards. Zoology, 111(1), 37–47. https://doi.org/10.1016/j.zool.2007.04.001"," Verwaijen & Van Damme, 2008"
439,"Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241–248. https://doi.org/10.3354/meps205241","Victor & Wellington, 2000"
440,"Victor, B. C., Vasquez-Yeomans, L., Valdez-Moreno, M., Wilk, L., Jones, D. L., Lara, M. R., Caldow, C., & Shivji, M. (2010). The larval, juvenile, and adult stages of the Caribbean goby, Coryphopterus kuna (Teleostei: Gobiidae): a reef fish with a pelagic larval duration longer than the post-settlement lifespan. Zootaxa. https://doi.org/10.5281/zenodo.205341","Victor et al., 2010"
441,"Vinagre, C., Madeira, C., Dias, M., Narciso, L., & Mendonça, V. (2016). Can stable isotopes be used to infer site fidelity of nekton in open coastal areas? Ecological Indicators, 71, 175–180. https://doi.org/10.1016/j.ecolind.2016.06.055"," Vinagre et al., 2016"
442,"Vittor, B. (1971). Effects of the environment on fitness-related life history characters in Tigriopus californicus. In PhD Dissertation. https://doi.org/10.1017/CBO9781107415324.004"," Vittor, 1971"
443,"Walker, R. H., Adams, G. L., & Reid Adams, S. (2013). Movement patterns of southern redbelly dace, Chrosomus erythrogaster, in a headwater reach of an Ozark stream. Ecology of Freshwater Fish, 22(2), 216–227. https://doi.org/10.1111/eff.12016"," Walker et al., 2013"
444,"Walsh, J. S. (1992). Amphibians and Reptiles of the West Indies: Descriptions, Distributions, and Natural History. Albert Schwartz , Robert W. Henderson. The Quarterly Review of Biology, 67(3), 380–381. https://doi.org/10.1086/417717"," Walsh, 1992"
445,"Warner, R. R. (1982). Mating Systems, Sex Change and Sexual Demography in the Rainbow Wrasse, Thalassoma lucasanum. Copeia, 1982(3), 653. https://doi.org/10.2307/1444666"," Warner, 1982"
446,"Wassens, S., & Maher, M. (2011). River regulation influences the composition and distribution of inland frog communities. River Research and Applications, 27(2), 238–246. https://doi.org/10.1002/rra.1347","Wassens & Maher, 2011"
447,"Wassens, S., Walcott, A., Wilson, A., & Freire, R. (2013). Frog breeding in rain-fed wetlands after a period of severe drought: Implications for predicting the impacts of climate change. Hydrobiologia, 708(1), 69–80. https://doi.org/10.1007/s10750-011-0955-2","Wassens et al., 2013"
